Course Name,Instructor,Days,Class Time,Room,Subject,Course Number,Section,Attribute,CRN
INTERNSHIP IN BUSINESS ADMIN,"Ortiz, Lorelei A.",[],,None None,BUSI,3385,1,INTERNSHIP,40606
INTERNSHIP IN BUSINESS ADMIN,"Dunn, Mary Bowker",[],,None None,BUSI,3385,2,INTERNSHIP,40607
STRATEGIC MANAGEMENT CAPSTONE,"Amini Sedeh, Amirmahmood","['T', 'Th']",11:00 - 12:15,TRUS 205,BUSI,4349,1,GE MM WRITING RICH - UPPER,40608
STRATEGIC MANAGEMENT CAPSTONE,"Lorenz, Thomas","['T', 'Th']",09:30 - 10:45,TRUS 203,BUSI,4349,2,GE MM WRITING RICH - UPPER,40609
STRATEGIC BUSINESS ANALYSIS AND PRACTICE,"Brish, Arie","['T', 'Th']",14:00 - 15:15,TRUS 116,BUSI,4388,1,,40610
MANAGERIAL COMMUNICATIONS,,['Th'],18:30 - 21:20,None None,BUSI,6312,1,,40551
GRADUATE BUSINESS INTERNSHIP,"Swid, Amr A",[],13:00 - 15:50,None None,BUSI,6385,1,,40897
INTRO BUSINESS ANALYTICS &amp; R,"Xu, Chen",[],09:00 - 11:50,TRUS 215,BANA,6310,1,,40545
DATA SUMMARIZATION &amp; VISUALIZATION,"Kim, Teddy",[],13:00 - 15:50,TRUS 214,BANA,6312,1,,40546
PYTHON FOR BUSINESS ANALYTICS,,[],13:00 - 15:50,TRUS 117,BANA,6320,1,,40547
BIG DATA &amp; DATABASE MANAGEMENT,"Jonnalagadda, Sri Akhil",[],09:00 - 11:50,TRUS 117,BANA,6330,1,,40548
SIMULATION MODELING,,[],09:00 - 11:50,TRUS 117,BANA,6350,1,,40549
ARTIFICIAL INTELLIGENCE &amp; MACHINE LEARNING,"Firouzi, Fatemeh",[],09:00 - 11:50,TRUS 116,BANA,6352,1,,40550
CAREER MANAGEMENT STRATEGIES,"Rosa, Bradley Scott",['Th'],15:30 - 16:45,MOOD 300,CPAM,1110,1,REPEATABLE FOR DEGREE CREDIT,40266
LSAT PREPARATION,"Finfrock, Christopher Michael",[],,None None,CPAM,1110,2,REPEATABLE FOR DEGREE CREDIT,40267
MCAT PREPARATION,"Finfrock, Christopher Michael",[],,None None,CPAM,1110,3,REPEATABLE FOR DEGREE CREDIT,40268
CAREER PLANNING &amp; MANAGEMENT INTERNSHIP,"Vanderlinden, Sydney",[],,None None,CPAM,4150,1,INTERNSHIP,40269
CAREER PLANNING &amp; MANAGEMENT INTERNSHIP,"Vanderlinden, Sydney",[],,None None,CPAM,4250,1,INTERNSHIP,40270
CAREER PLANNING &amp; MANAGEMENT INTERNSHIP,"Vanderlinden, Sydney",[],,None None,CPAM,4350,1,INTERNSHIP,40271
INTRODUCTION TO CATHOLICISM,"Scruggs, Mathew","['M', 'W', 'F']",10:00 - 10:50,TRUS 104,CATH,1316,1,EXCHANGE ELIGIBLE,40305
INTRODUCTION TO CATHOLICISM,"Scruggs, Mathew","['M', 'W', 'F']",11:00 - 11:50,TRUS 104,CATH,1316,2,EXCHANGE ELIGIBLE,40306
INTRODUCTION TO CATHOLICISM,"Montgomery-Goodnough, Angelique","['T', 'Th']",08:00 - 09:15,TRUS 104,CATH,1316,3,EXCHANGE ELIGIBLE,40307
"JUSTICE, PEACE AND LIBERATION","Scruggs, Mathew","['T', 'Th']",12:30 - 13:45,TRUS 303,CATH,2323,1,EXCHANGE ELIGIBLE,40308
"JUSTICE, PEACE AND LIBERATION","Scruggs, Mathew","['T', 'Th']",15:30 - 16:45,TRUS 116,CATH,2323,2,EXCHANGE ELIGIBLE,40309
SENIOR SEMINAR IN CATHOLIC STUDIES,"Bautch, Richard J.","['T', 'Th']",09:30 - 10:45,HOLY 402,CATH,4342,1,EXCHANGE ELIGIBLE,40310
GENERAL CHEMISTRY LAB,,['M'],14:00 - 16:50,JBWN 205,CHEM,1140,1,EXCHANGE ELIGIBLE,40720
GENERAL CHEMISTRY LAB,,['T'],14:00 - 16:50,JBWN 205,CHEM,1140,2,EXCHANGE ELIGIBLE,40721
GENERAL CHEMISTRY LAB,"Paul, Debamita",['T'],08:00 - 10:50,JBWN 209,CHEM,1140,3,EXCHANGE ELIGIBLE,40722
GENERAL CHEMISTRY LAB,,['T'],14:00 - 16:50,JBWN 209,CHEM,1140,4,EXCHANGE ELIGIBLE,40723
GENERAL CHEMISTRY LAB,,['T'],17:30 - 20:20,JBWN 209,CHEM,1140,5,EXCHANGE ELIGIBLE,40724
GENERAL CHEMISTRY LAB,"Burnett, Christopher Aquila",['W'],14:00 - 16:50,JBWN 209,CHEM,1140,6,EXCHANGE ELIGIBLE,40725
GENERAL CHEMISTRY LAB,"Paul, Debamita",['Th'],08:00 - 10:50,JBWN 209,CHEM,1140,7,EXCHANGE ELIGIBLE,40726
GENERAL CHEMISTRY LAB,,['Th'],14:00 - 16:50,JBWN 209,CHEM,1140,8,EXCHANGE ELIGIBLE,40727
GENERAL CHEMISTRY LAB,,['Th'],17:30 - 20:20,JBWN 209,CHEM,1140,9,EXCHANGE ELIGIBLE,40728
GENERAL CHEMISTRY,"Paul, Debamita","['T', 'Th']",11:00 - 12:15,MOOD 206,CHEM,1340,1,EXCHANGE ELIGIBLE,40729
GENERAL CHEMISTRY,"Kopecki-Fjetland, Mary A.","['M', 'W', 'F']",13:00 - 13:50,JBWN 206,CHEM,1340,2,EXCHANGE ELIGIBLE,40730
GENERAL CHEMISTRY,"Price, Skyler Elaine","['M', 'W', 'F']",10:00 - 10:50,JBWN 206,CHEM,1340,3,EXCHANGE ELIGIBLE,40731
GENERAL CHEMISTRY,,"['M', 'W', 'F']",11:00 - 11:50,MOOD 304,CHEM,1340,4,EXCHANGE ELIGIBLE,40732
GENERAL CHEMISTRY,"Kopecki-Fjetland, Mary A.","['M', 'W', 'F']",10:00 - 10:50,JBWS 165,CHEM,1340,5,EXCHANGE ELIGIBLE,40733
