Course Name,Instructor,Days,Class Time,Room,Subject,Course Number,Section,Attribute,CRN
FOUNDATION DRAWING,"Lai, Renee Hoi Yee","M, W",09:00 - 10:50,ARTS 114,ARTS,1316,01,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40276
FOUNDATION DRAWING,"Haughey, Donald J.","M, W",11:00 - 12:50,ARTS 114,ARTS,1316,02,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40277
FOUNDATION DRAWING,"Arzac, Sergio Arturo","M, W",15:00 - 16:50,ARTS 114,ARTS,1316,03,"GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40278
FOUNDATION DRAWING,"Arzac, Sergio Arturo","M, W",17:00 - 18:50,ARTS 114,ARTS,1316,04,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40279
FOUNDATION DRAWING,"Fagan, Sarah Emily","M, W",13:00 - 14:50,ARTS 114,ARTS,1316,05,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40280
CLAY: HANDBUILDING,"Hassin, Jennifer","M, W",12:00 - 13:50,ARTS 116,ARTS,1318,01,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40281
CLAY: HANDBUILDING,"Hassin, Jennifer","M, W",14:30 - 16:20,ARTS 116,ARTS,1318,02,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40282
ART HISTORY I,"Brantl, Mary K.","M, W, F",09:00 - 09:50,MOOD 208,ARTS,2303,01,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS, GE MM SOCIAL IDENTITIES, TRAVEL-DOMESTIC",40283
ARTISTIC PASTS &amp; THEIR USES,"Brantl, Mary K.","T, Th",14:00 - 15:15,MOOD 208,ARTS,2308,01,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS, TRAVEL-DOMESTIC",40285
MODERNISTS &amp; OTHERS,"Brantl, Mary K.","M, W, F",11:00 - 11:50,MOOD 208,ARTS,2322,01,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS, GE MM SOCIAL IDENTITIES",40286
SCULPTURE: MATERIALS,"Hassin, Jennifer","T, Th",12:30 - 14:50,ARTS 116,ARTS,2326,01,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40539
DRAWING: METHODS,"Robinson, Alexandra","T, Th",09:00 - 11:20,ARTS 114,ARTS,2332,01,"EXCHANGE ELIGIBLE, TRAVEL-DOMESTIC",40540
CLAY: WHEEL THROWING,"Moseley, Britt","T, Th",09:00 - 10:50,ARTS 116,ARTS,2347,01,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40287
WATERCOLOR,"Stone, Michael Clinton","M, W",14:30 - 16:20,ARTS 113,ARTS,2366,01,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, TRAVEL-DOMESTIC",40288
INTRODUCTION TO PHOTOGRAPHY,"Miller, Sybil A.","T, Th",09:30 - 10:45,None None,ARTS,2399,01,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40289
DIGITAL ART,"Stern, Jeanne Ellen Ganung","M, W",17:00 - 18:15,LIBR 115,ARTS,2399,02,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40290
DISCOVERING DESIGN,"Lievens, Robert Daniel","T, Th",11:00 - 12:15,TRUS 108,ARTS,2399,04,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40292
TEXTILE ART,"Pencevova, Margita T.","T, Th",15:30 - 16:45,None None,ARTS,2399,05,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40293
INTRODUCTION TO PHOTOGRAPHY,"Miller, Sybil A.","T, Th",11:00 - 12:15,None None,ARTS,2399,06,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40294
VISUAL JOURNALING,"Rebholz, Matt","M, W",15:30 - 16:45,HOLY 402,ARTS,2399,07,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40295
VISUAL JOURNALING,"Rebholz, Matt","M, W",14:00 - 15:15,HOLY 402,ARTS,2399,08,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40296
DIGITAL ART,"Thrasher, Jill","T, Th",12:30 - 13:45,ARTS 121,ARTS,2399,09,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40297
COLOR &amp; CREATIVE APPLICATION,"Massey, Michael C.","T, Th",15:30 - 16:45,ARTS 113,ARTS,2399,10,"EXCHANGE ELIGIBLE, GE CREATIVITY AND MAKING, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40298
FIGURATION,"Lai, Renee Hoi Yee","T, Th",12:30 - 14:50,ARTS 114,ARTS,3336,01,"EXCHANGE ELIGIBLE, TRAVEL-DOMESTIC",40299
FIGURATION,"Lai, Renee Hoi Yee","T, Th",15:30 - 17:50,ARTS 114,ARTS,3336,02,"EXCHANGE ELIGIBLE, TRAVEL-DOMESTIC",40300
LABOR THROUGH THE ARTIST&#39;S LENS,"Brantl, Mary K.","T, Th",11:00 - 12:15,MOOD 208,ARTS,3349,01,"GE EXPLORING ARTISTIC WORKS, GE MM SOCIAL IDENTITIES, GE MM WRITING RICH - UPPER, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40301
SCREENPRINTING,"Rebholz, Matt","M, W",17:00 - 18:50,ARTS 110,ARTS,3399,01,"EXCHANGE ELIGIBLE, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40302
ADVANCED CLAY,"Hassin, Jennifer",,,None None,ARTS,4344,01,"REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40303
INTERNSHIP IN ART,"Lievens, Robert Daniel",F,11:00 - 11:50,None None,ARTS,4350,01,"EXCHANGE ELIGIBLE, INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40304
INTRODUCTION TO ASTRONOMY,"Baumann, Mark Chapple","T, Th",11:00 - 12:15,JBWS 362,ASTR,1310,01,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40660
LEARNING &amp; COGNITION,"Goldey, Katherine Luciana","M, W, F",11:00 - 11:50,TRUS 113,NEUR,4343,01,,40133
BEHAVIORAL NEUROSCIENCE,"Barton, Emily","T, Th",11:00 - 12:15,MOOD 307,NEUR,4442,01,,40134
GENERAL BIOLOGY I LAB,"DeWhatley, Megan Christine",M,14:00 - 16:50,JBWN 222,BIOL,1107,01,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40662
GENERAL BIOLOGY I LAB,,M,14:00 - 16:50,JBWN 226,BIOL,1107,02,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40663
GENERAL BIOLOGY I LAB,"Green, Michelle",M,14:00 - 16:50,JBWS 261,BIOL,1107,03,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40664
GENERAL BIOLOGY I LAB,,T,14:00 - 16:50,JBWN 222,BIOL,1107,04,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40665
GENERAL BIOLOGY I LAB,,T,14:00 - 16:50,JBWN 226,BIOL,1107,05,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40666
GENERAL BIOLOGY I LAB,"DeWhatley, Megan Christine",W,14:00 - 16:50,JBWN 222,BIOL,1107,06,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40667
GENERAL BIOLOGY I LAB,"Green, Michelle",W,14:00 - 16:50,JBWN 226,BIOL,1107,07,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40668
GENERAL BIOLOGY I LAB,,Th,14:00 - 16:50,JBWN 222,BIOL,1107,08,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40669
GENERAL BIOLOGY I LAB,,Th,14:00 - 16:50,JBWN 226,BIOL,1107,09,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS, RESEARCH, TRAVEL-DOMESTIC",40670
GENERAL BIOLOGY I,"Hauser, Charles R.","M, W, F",09:00 - 09:50,JBWN 202,BIOL,1307,01,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40671
GENERAL BIOLOGY I,"Green, Michelle","M, W, F",10:00 - 10:50,JBWN 202,BIOL,1307,02,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40672
GENERAL BIOLOGY I,"Green, Michelle","M, W, F",11:00 - 11:50,JBWN 202,BIOL,1307,03,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40673
GENERAL BIOLOGY I,"Ledesma, David Trevino","M, W, F",12:00 - 12:50,JBWN 202,BIOL,1307,04,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40674
GENERAL BIOLOGY I,"Green, Michelle","M, W, F",13:00 - 13:50,JBWN 202,BIOL,1307,05,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40675
GENERAL BIOLOGY I,"DeWhatley, Megan Christine","T, Th",09:30 - 10:45,JBWN 202,BIOL,1307,06,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40676
GENERAL BIOLOGY I,"Hauser, Charles R.","T, Th",11:00 - 12:15,JBWN 202,BIOL,1307,07,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40677
GENERAL BIOLOGY I,"Hauser, Charles R.","M, W",14:00 - 15:15,JBWN 202,BIOL,1307,08,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40678
NUTRITION,"Anthony, Mark John",,,None None,BIOL,1322,01,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS",40679
NUTRITION,"Anthony, Mark John",,,None None,BIOL,1322,02,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS",40680
NUTRITION,"Anthony, Mark John",,,None None,BIOL,1322,03,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES, ZERO-COST COURSE MATERIALS",40681
ANATOMY &amp; PHYSIOLOGY I LAB,"Row, Kristopher",M,14:00 - 16:50,JBWS 265,BIOL,2001,01,,40682
ANATOMY &amp; PHYSIOLOGY I LAB,,T,14:00 - 16:50,JBWS 265,BIOL,2001,02,,40683
ANATOMY &amp; PHYSIOLOGY I LAB,,W,14:00 - 16:50,JBWS 265,BIOL,2001,03,,40684
ANATOMY &amp; PHYSIOLOGY I LAB,,Th,14:00 - 16:50,JBWS 265,BIOL,2001,04,,40685
BIOLOGIC,"Bell, Balyssa Bridget",T,16:00 - 16:50,JBWN 202,BIOL,2113,01,,40686
BIOLOGIC,"Bell, Balyssa Bridget",T,17:00 - 17:50,JBWN 202,BIOL,2113,02,,40687
HUMAN PHYSIOLOGY LAB,"Wostl, Elijah",T,14:00 - 16:50,JBWN 243,BIOL,2135,01,RESEARCH,40688
